year;avg_piomas;std_piomas;avg_co2;std_co2;No_Smoothing_LOT;Lowess_LOT
1979;25.42600833;6.102315245;336.835;-0.99;0.16;0.16
1980;24.68140833;6.032519454;338.7625;-0.99;0.26;0.2
1981;22.2785;6.86195067;340.12;-0.99;0.32;0.21
1982;21.70073333;5.582072958;341.4783333;-0.99;0.14;0.22
1983;23.38089167;5.641535775;343.1533333;-0.2425;0.31;0.21
1984;22.92556667;5.857201812;344.8675;0.155;0.16;0.21
1985;23.08325;6.045519883;346.3516667;0.204166667;0.12;0.22
1986;23.87610833;5.437222384;347.6083333;0.164166667;0.18;0.24
1987;24.18558333;6.188123653;349.3116667;0.176666667;0.32;0.27
1988;23.51983333;5.990290268;351.69;0.191666667;0.39;0.31
1989;23.15954167;5.793481241;353.205;0.156666667;0.27;0.33
1990;22.45915833;6.023345583;354.4525;0.178333333;0.45;0.33
1991;22.631775;6.37317839;355.7041667;0.188333333;0.4;0.33
1992;22.95629167;5.400419121;356.5458333;0.18;0.22;0.33
1993;22.00531667;6.813419979;357.2158333;0.19;0.23;0.33
1994;22.330475;5.932449807;358.9591667;0.199166667;0.32;0.34
1995;20.34603333;6.701231146;360.9683333;0.1625;0.45;0.37
1996;21.09546667;4.97312668;362.7433333;0.170833333;0.33;0.4
1997;21.628175;6.101171998;363.8766667;0.185833333;0.46;0.42
1998;21.050925;6.689121944;366.84;0.160833333;0.61;0.44
1999;20.42913333;6.430420862;368.54;0.22;0.38;0.47
2000;19.6673;6.045101859;369.7075;0.1875;0.39;0.5
2001;20.11605833;5.6558508;371.3191667;0.17;0.54;0.52
2002;19.63993333;6.309658335;373.4525;0.184166667;0.63;0.55
2003;19.00868333;6.417852403;375.9833333;0.169166667;0.62;0.58
2004;18.48829167;5.838160771;377.6983333;0.165;0.53;0.61
2005;17.91532583;6.279936199;379.9833333;0.1725;0.68;0.62
2006;17.25521;6.055688255;382.0908333;0.186666667;0.64;0.62
2007;15.50881583;6.633736101;384.025;0.149166667;0.66;0.63
2008;16.60434667;6.512336935;385.8316667;0.173333333;0.54;0.64
2009;16.11890667;6.806493651;387.6425;0.205833333;0.66;0.64
2010;14.525545;7.15288595;390.1016667;0.2;0.72;0.65
2011;13.71073417;6.683073851;391.8508333;0.206666667;0.61;0.67
2012;13.54959917;7.216481895;394.0558333;0.233333333;0.65;0.7
2013;14.40262417;6.453489129;396.7375;0.235833333;0.68;0.74
2014;15.28111667;5.817209451;398.8125;0.200833333;0.75;0.79
2015;15.4028025;6.91397235;401.0116667;0.180833333;0.9;0.83
2016;13.62974917;6.809462131;404.4125;0.2025;1.02;0.88
2017;12.88974333;5.873133414;406.7583333;0.223333333;0.92;0.91
2018;13.86158333;6.388792424;408.715;0.25;0.85;0.93
2019;13.51594833;6.957116095;411.6541667;0.215833333;0.98;0.92
2020;13.52177917;7.104426186;414.2383333;0.231666667;1.02;0.92
2021;13.80937;6.607482579;416.4508333;0.240833333;0.85;0.91
2022;14.30816417;6.618369422;418.5641667;0.213333333;0.89;0.9
2023;9.8527;11.44767637;420.2933333;0.21;;
